,Model,F1-macro,F1-macro_std,F1-weighted,Accuracy,Precision-macro,Recall-macro,Train_F1-macro,Overfit_gap,Time_s
0,LightGBM Tuned | RoBERTa,0.8021053007041244,0.006259677785157362,0.8509327022922978,0.8531907229684392,0.8191728182891012,0.7878526831642362,1.0,0.19789469929587555,60.91861128807068
1,LightGBM 300 | RoBERTa,0.8009033106128169,0.009662056094063419,0.8496153728716015,0.8516187802893279,0.8157688700981984,0.7884673208023791,1.0,0.19909668938718306,33.99183177947998
2,"MLP (256,128) | SBERT",0.7967870823258771,0.005515731947433152,0.8446767572356555,0.8462742410714776,0.8085983707127467,0.7871001115919019,0.961271419541619,0.16448433721574185,8.571278810501099
3,LightGBM 100 | RoBERTa,0.7937576210621111,0.009810624176785184,0.8424912926921401,0.8425024681718396,0.7945071665622444,0.7941317032243624,0.99964427901274,0.20588665795062888,12.804055213928223
4,LightGBM Tuned | SBERT,0.7929720991013879,0.004339973191655774,0.8434259668586707,0.8474279947243171,0.8237581006546175,0.7693766810753251,1.0,0.20702790089861212,69.12848138809204
5,"MLP (256,128) | RoBERTa",0.7912199058628431,0.009992561374002168,0.8426624988445385,0.8447030122129207,0.8061044359992178,0.7798705940393658,0.8668906350604152,0.07567072919757212,8.027328491210938
6,XGBoost 300 | RoBERTa,0.7897184368971715,0.007934591495489338,0.8416415340909513,0.8453315586656169,0.8169869902028634,0.7684348547954959,1.0,0.21028156310282853,60.376420974731445
7,LightGBM 300 | SBERT,0.7891511457549532,0.004362934915816269,0.8408790305195459,0.8447032867592876,0.8175168577962794,0.7670397310445589,1.0,0.21084885424504685,37.312705278396606
8,XGBoost 100 | RoBERTa,0.7887142740579547,0.011290565275815043,0.8408260588156624,0.8447026278480069,0.8176800642274813,0.7664509324319834,1.0,0.2112857259420453,29.10330057144165
9,LightGBM Tuned | FinBERT,0.7877511773240623,0.010630181248696264,0.839430298978866,0.8420828515044592,0.8058541860716172,0.7727629677741958,1.0,0.2122488226759377,62.00350260734558
10,LightGBM 300 | FinBERT,0.7849818861063402,0.006318163911893624,0.8367245388552282,0.8389393505111504,0.7998513543133955,0.7723275939861995,1.0,0.21501811389365977,35.11621642112732
11,LightGBM 100 | FinBERT,0.7824995465389336,0.005533723436912001,0.8340386969641042,0.834014208323587,0.7822764327898677,0.7829574012665342,0.9989694231822093,0.21646987664327566,12.294512510299683
12,LightGBM 100 | SBERT,0.7815490838917801,0.003934444671357187,0.8327836799465402,0.8346432489597438,0.7934106407854447,0.7712030058545418,0.9994461523923779,0.21789706850059776,13.92009687423706
13,"MLP (256,128) | FinBERT",0.7808409548817006,0.009049338148895882,0.8336717233312564,0.8353774408544762,0.7921595906891502,0.7714318245448681,0.9345040528340369,0.15366309795233635,8.653827428817749
14,XGBoost 300 | FinBERT,0.7773659564804152,0.008443452454523569,0.8326371837308069,0.8367391359257098,0.805139446947335,0.7558985966993814,1.0,0.22263404351958482,61.840466022491455
15,XGBoost 300 | SBERT,0.7760506665711044,0.0031355646239494,0.8322934728312343,0.8386255989228996,0.8234555920462547,0.7436646523127058,1.0,0.22394933342889556,63.655290365219116
16,XGBoost 100 | FinBERT,0.7745872865099209,0.01076247316839041,0.8309415097256927,0.8353768368524687,0.8043017353999771,0.7518646953039136,1.0,0.22541271349007908,29.387804985046387
17,KNN k=15 | RoBERTa,0.771762147103924,0.011501120889138586,0.8206245952800675,0.8181923208282955,0.7606368034920067,0.7872707166314054,0.7977511935826722,0.025989046478748223,2.3845338821411133
18,KNN k=5 | RoBERTa,0.7687279524659395,0.011579429106563519,0.8167760254969929,0.8132675630056457,0.7529437957812792,0.7912620335348369,0.8406053832431754,0.07187743077723585,2.256845712661743
19,KNN k=5 | FinBERT,0.7648269353360675,0.008034228872733156,0.8196195086295484,0.8189260734488405,0.7613691530158075,0.7694056584328287,0.8271759382859198,0.06234900294985235,2.3889365196228027
20,LR C=1.0 | SBERT,0.7629316981681666,0.006743646535545879,0.8066779979217567,0.8001672536467994,0.7368324511027656,0.8080477613443472,0.7947214872446144,0.031789789076447805,1.2117969989776611
21,KNN k=15 | FinBERT,0.7618175267977438,0.008572629565732508,0.8176755602155403,0.8182956600808484,0.7652806912070057,0.760479354239752,0.7811849085079875,0.01936738171024366,2.404742479324341
22,XGBoost 100 | SBERT,0.760867820776411,0.007575922533734381,0.8221059770931571,0.8302427099703161,0.8192295355653647,0.7239190344866835,1.0,0.23913217922358898,31.951937198638916
23,LR C=1.0 | RoBERTa,0.7593691897885708,0.010798217895688064,0.8096223553811901,0.8034163451728709,0.7363532595799365,0.7955077577532206,0.8500025618788744,0.09063337209030353,16.089208841323853
24,RF 300 | RoBERTa,0.7527765002646349,0.006049040505207281,0.8146878854352085,0.8242688006606684,0.8251061375318693,0.7102668256042068,1.0,0.24722349973536506,13.126713991165161
25,RF 100 | RoBERTa,0.7499010324008845,0.004431704582420748,0.8127003637101822,0.822382941665486,0.8221444005899929,0.7075790928192038,1.0,0.25009896759911554,4.829506158828735
26,RF 300 | FinBERT,0.7437436905511633,0.0063576654002506115,0.8081774850071766,0.817771770703267,0.8078675717348724,0.7050128973046179,1.0,0.2562563094488367,13.83720850944519
27,RF 100 | FinBERT,0.742901735661127,0.008216847778191901,0.8072909821363048,0.8170385122661827,0.8083586084082418,0.7036857064540349,1.0,0.25709826433887295,5.016230583190918
28,LR C=1.0 | FinBERT,0.736326881925359,0.0028390354540719976,0.7908012433051849,0.783820872771919,0.7138942441762959,0.7720674556833705,0.8447816234254389,0.10845474150007994,7.229358196258545
29,LR C=10.0 | TF-IDF 2g,0.7354908621604028,0.007638208702137512,0.8064369030744173,0.8091789086891727,0.7476115973532425,0.7255011303877027,0.9923441164615994,0.25685325430119654,1.415666103363037
