,Model,F1-macro,F1-macro_std,F1-weighted,Accuracy,Precision-macro,Recall-macro,Train_F1-macro,Overfit_gap,Time_s,note
1,LightGBM 300 | RoBERTa,0.7965558119858202,0.007073270758073361,0.8450338016991028,0.8458550636782844,0.8027585648640164,0.7916063797972501,1.0,0.20344418801417985,123.13817024230957,
2,"MLP (256,128) | SBERT",0.7955878897501286,0.015064853313801939,0.8440406183362107,0.8460641581914203,0.8102332483312628,0.7828987450488787,0.9770595818953609,0.1814716921452323,11.26468014717102,
3,LightGBM 100 | RoBERTa,0.7937576210621111,0.009810624176785184,0.8424912926921401,0.8425024681718396,0.7945071665622444,0.7941317032243624,0.99964427901274,0.20588665795062888,42.41673159599304,
4,LightGBM 300 | SBERT,0.7899940199134741,0.005082382661204366,0.8397326611025884,0.8426081136138759,0.8110763147727884,0.7726436944744661,1.0,0.21000598008652593,132.71184659004211,
5,XGBoost 300 | RoBERTa,0.7871185542533247,0.010216520184527221,0.8398081156461101,0.8438643828801672,0.8172259831631676,0.764238510456508,1.0,0.21288144574667534,221.94503259658813,
6,XGBoost 100 | RoBERTa,0.7851021848172305,0.0057056696990776465,0.8380383966306448,0.8423973718225376,0.8181434982061345,0.760510303593903,0.9989476363176036,0.21384545150037315,78.5229434967041,
7,"MLP (256,128) | RoBERTa",0.7842487163615224,0.011475344846788119,0.8383089470900849,0.8405118971922694,0.7997373628277712,0.7727485915234523,0.9023910091561561,0.11814229279463373,9.695202112197876,
8,LightGBM 100 | FinBERT,0.7824995465389336,0.005533723436912001,0.8340386969641042,0.834014208323587,0.7822764327898677,0.7829574012665342,0.9989694231822093,0.21646987664327566,42.32434582710266,
9,LightGBM 300 | FinBERT,0.7817658961024825,0.008529275660056576,0.8334941922665289,0.8346434685968374,0.7885924789841635,0.7756821451038067,1.0,0.21823410389751752,126.61721348762512,
10,LightGBM 100 | SBERT,0.7815490838917801,0.003934444671357187,0.8327836799465402,0.8346432489597438,0.7934106407854447,0.7712030058545418,0.9994461523923779,0.21789706850059776,45.54766011238098,
11,"MLP (256,128) | FinBERT",0.7746833180468322,0.011020661390927984,0.8298562901274638,0.8322338300426205,0.7917158749651226,0.7635719197941853,0.9506433408358681,0.17596002278903589,14.021528482437134,
12,XGBoost 300 | FinBERT,0.7737194381068954,0.011109379945015844,0.8302002346124004,0.8350617674416559,0.8068195867894209,0.7490940718550302,1.0,0.22628056189310464,227.6841812133789,
13,KNN k=15 | RoBERTa,0.771762147103924,0.011501120889138586,0.8206245952800675,0.8181923208282955,0.7606368034920067,0.7872707166314054,0.7977511935826722,0.025989046478748223,2.7333486080169678,
14,XGBoost 100 | FinBERT,0.7699673317314041,0.005787821996535221,0.826549489720122,0.8312898298141981,0.8013459593924905,0.7464192881809724,0.9988613239734405,0.22889399224203644,81.13979911804199,
15,KNN k=5 | RoBERTa,0.7687279524659395,0.011579429106563519,0.8167760254969929,0.8132675630056457,0.7529437957812792,0.7912620335348369,0.8406053832431754,0.07187743077723585,2.699387788772583,
16,KNN k=5 | FinBERT,0.7648269353360675,0.008034228872733156,0.8196195086295484,0.8189260734488405,0.7613691530158075,0.7694056584328287,0.8271759382859198,0.06234900294985235,3.0657999515533447,
17,KNN k=15 | FinBERT,0.7618175267977438,0.008572629565732508,0.8176755602155403,0.8182956600808484,0.7652806912070057,0.760479354239752,0.7811849085079875,0.01936738171024366,3.159169912338257,
18,XGBoost 300 | SBERT,0.7534540623809816,0.00896124080235614,0.8168790457852364,0.8263645778080877,0.8222004387862537,0.7124296272102761,1.0,0.24654593761901844,274.1939046382904,
19,RF 300 | RoBERTa,0.7527765002646349,0.006049040505207281,0.8146878854352085,0.8242688006606684,0.8251061375318693,0.7102668256042068,1.0,0.24722349973536506,94.56530356407166,
20,RF 100 | RoBERTa,0.7499010324008845,0.004431704582420748,0.8127003637101822,0.822382941665486,0.8221444005899929,0.7075790928192038,1.0,0.25009896759911554,31.55603861808777,
21,RF 300 | FinBERT,0.7437436905511633,0.0063576654002506115,0.8081774850071766,0.817771770703267,0.8078675717348724,0.7050128973046179,1.0,0.2562563094488367,105.72859621047974,
22,RF 100 | FinBERT,0.742901735661127,0.008216847778191901,0.8072909821363048,0.8170385122661827,0.8083586084082418,0.7036857064540349,1.0,0.25709826433887295,37.27612781524658,
23,XGBoost 100 | SBERT,0.7417850239212169,0.010150804118688838,0.8088760012448185,0.8193438781101985,0.8134558129039935,0.7002138270826574,1.0,0.2582149760787831,96.477694272995,
24,LR C=10.0 | TF-IDF 2g,0.7365375988308338,0.008408170625895169,0.8071878704625322,0.809807455141869,0.748200618840472,0.726892962990413,0.9926887827776743,0.25615118394684044,16.475605249404907,
25,FinBERT CLS + LR (proxy for fine-tuning),0.736326881925359,0.0028390354540719976,0.7908012433051849,0.783820872771919,0.7138942441762959,0.7720674556833705,0.8447816234254389,0.10845474150007994,6.523837327957153,
26,LR C=1.0 | TF-IDF 2g,0.7325064097230285,0.005110820681603956,0.8021154831050831,0.801529717447861,0.7309368791661994,0.7347072049176684,0.932674553105131,0.20016814338210254,1.3846099376678467,
27,LR C=1.0 | TF-IDF char,0.7281075933632617,0.0049269130585615295,0.7953775132034211,0.791470064013231,0.7160025452472742,0.7434162837163483,0.8878602414149359,0.15975264805167422,5.789449691772461,
28,KNN k=15 | SBERT,0.7276559978165508,0.011433722551281526,0.8012728852533938,0.808341157904794,0.7634007545694661,0.70360803219482,0.7758152077442564,0.048159209927705615,2.893310546875,
29,LR C=1.0 | BoW,0.7154878225454047,0.008174129032632642,0.7878299263090439,0.7857054139445394,0.7088679736919096,0.7230873277376155,0.9594865885140921,0.24399876596868741,2.4138522148132324,
30,KNN k=5 | SBERT,0.7142204884501063,0.00516956457685641,0.7872695560361251,0.7874874944129814,0.7157899967347157,0.7132250407856867,0.8170863163220078,0.10286582787190146,2.8119378089904785,
31,ComplementNB a=0.5 | TF-IDF 2g,0.7130422125354767,0.007743058847068592,0.783927751317391,0.7795244417648719,0.7004926363890955,0.7291684437668765,0.9141359908626872,0.20109377832721043,0.09313082695007324,
32,LinearSVC C=1.0 | TF-IDF 2g,0.7103590807164688,0.0071692579037500835,0.7915574786472102,0.8069796824706538,0.8045252636525617,0.6654039742726392,0.986610915677765,0.27625183496129624,1.5933036804199219,
33,LinearSVC C=1.0 | TF-IDF char,0.7006145480033424,0.006214027989122961,0.7851129801563415,0.8024733333113696,0.8081506621783887,0.6535602721377304,0.9249212430402464,0.22430669503690392,10.11151123046875,
34,MultinomialNB a=1.0 | BoW,0.6934397445563023,0.007387791927202061,0.7754034694561012,0.7784758942798813,0.7031804507204028,0.6858357704782747,0.8470124278485045,0.1535726832922022,0.08816266059875488,
35,LR C=0.1 | TF-IDF 2g,0.6917556921357584,0.00948733696724454,0.7700404794559066,0.7685223255614748,0.6897746448699061,0.696098098297969,0.8130353272844821,0.12127963514872375,0.7215108871459961,
36,LinearSVC C=0.1 | TF-IDF 2g,0.6824291678045619,0.007374676255284849,0.7719490849271888,0.7893745614121788,0.7730627591998326,0.6401881859568168,0.851521940170939,0.1690927723663771,0.844494104385376,
37,LightGBM 300 | W2V-SG,0.6376408924022774,0.013151816858943705,0.7465433469409266,0.7536395513692725,0.6531034444442402,0.627373972020782,0.9949907790453352,0.3573498866430578,31.08730149269104,
38,LightGBM 100 | W2V-SG,0.6315060629042517,0.009691022296755343,0.740593849043272,0.7425327780907607,0.6348489563070155,0.6291183207170589,0.9729022962763395,0.3413962333720878,10.620242834091187,
39,XGBoost 300 | W2V-SG,0.6207200048557306,0.007933863121142056,0.7412075380635088,0.7633861670362061,0.6881500908835734,0.5934765273512129,0.9862407159283494,0.36552071107261874,55.06812238693237,
