Model,F1-macro,F1-macro_std,F1-weighted,Accuracy,Precision-macro,Recall-macro,Train_F1-macro,Overfit_gap,Time_s
Majority Baseline,0.26198502370911647,2.2236395774484385e-05,0.5088159187660498,0.6473854949466996,0.21579516498223322,0.3333333333333333,0.26198503020541136,6.496294890911969e-09,0.07813215255737305
Stratified Baseline,0.3301249398976115,0.008795790026121431,0.4820168218846123,0.4815061174421503,0.33008776008629137,0.3301831862403641,0.33656029391129666,0.006435354013685168,0.08365178108215332
MultinomialNB a=1.0 | TF-IDF 2g,0.5390003732350344,0.01140422558290341,0.6845745012894653,0.737398651208608,0.8212919470414416,0.5063970854389785,0.6704735831257481,0.13147320989071376,0.0951228141784668
ComplementNB a=0.5 | TF-IDF 2g,0.7130422125354767,0.007743058847068592,0.783927751317391,0.7795244417648719,0.7004926363890955,0.7291684437668765,0.9141359908626872,0.20109377832721043,0.09313082695007324
LR C=0.1 | TF-IDF 2g,0.6917556921357584,0.00948733696724454,0.7700404794559066,0.7685223255614748,0.6897746448699061,0.696098098297969,0.8130353272844821,0.12127963514872375,0.7215108871459961
LR C=1.0 | TF-IDF 2g,0.7325064097230285,0.005110820681603956,0.8021154831050831,0.801529717447861,0.7309368791661994,0.7347072049176684,0.932674553105131,0.20016814338210254,1.3846099376678467
LR C=10.0 | TF-IDF 2g,0.7365375988308338,0.008408170625895169,0.8071878704625322,0.809807455141869,0.748200618840472,0.726892962990413,0.9926887827776743,0.25615118394684044,16.475605249404907
LinearSVC C=0.1 | TF-IDF 2g,0.6824291678045619,0.007374676255284849,0.7719490849271888,0.7893745614121788,0.7730627591998326,0.6401881859568168,0.851521940170939,0.1690927723663771,0.844494104385376
LinearSVC C=1.0 | TF-IDF 2g,0.7103590807164688,0.0071692579037500835,0.7915574786472102,0.8069796824706538,0.8045252636525617,0.6654039742726392,0.986610915677765,0.27625183496129624,1.5933036804199219
MultinomialNB a=1.0 | BoW,0.6934397445563023,0.007387791927202061,0.7754034694561012,0.7784758942798813,0.7031804507204028,0.6858357704782747,0.8470124278485045,0.1535726832922022,0.08816266059875488
LR C=1.0 | BoW,0.7154878225454047,0.008174129032632642,0.7878299263090439,0.7857054139445394,0.7088679736919096,0.7230873277376155,0.9594865885140921,0.24399876596868741,2.4138522148132324
LR C=1.0 | TF-IDF char,0.7281075933632617,0.0049269130585615295,0.7953775132034211,0.791470064013231,0.7160025452472742,0.7434162837163483,0.8878602414149359,0.15975264805167422,5.789449691772461
LinearSVC C=1.0 | TF-IDF char,0.7006145480033424,0.006214027989122961,0.7851129801563415,0.8024733333113696,0.8081506621783887,0.6535602721377304,0.9249212430402464,0.22430669503690392,10.11151123046875
